Vitesse,iter,PWM,Moteur état,état machine, flowing state, isFlowing, flowingChrono, stoppedChrono, Courant, etat wattmetre,Kp, capteur, rCapteur, timestamp, dérivée 1, dérivée 2
0.00,182,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1443,0.00,0.00
0.00,183,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1457,0.00,0.00
0.00,184,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1471,0.00,0.00
0.00,185,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1485,0.00,0.00
0.00,186,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1499,0.00,0.00
0.00,187,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1513,0.00,0.00
0.00,188,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1527,0.00,0.00
0.00,189,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1541,0.00,0.00
0.00,190,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1555,0.00,0.00
0.00,191,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1570,0.00,0.00
0.00,192,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1585,0.00,0.00
0.00,193,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1600,0.00,0.00
0.00,194,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1615,0.00,0.00
0.00,195,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1630,0.00,0.00
0.00,196,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1645,0.00,0.00
0.00,197,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1660,0.00,0.00
0.00,198,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1675,0.00,0.00
0.00,199,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1690,0.00,0.00
0.00,200,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1705,0.00,0.00
0.00,201,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1720,0.00,0.00
0.00,202,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1735,0.00,0.00
0.00,203,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1750,0.00,0.00
0.00,204,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1765,0.00,0.00
0.00,205,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1780,0.00,0.00
0.00,206,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1796,0.00,0.00
0.00,207,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1812,0.00,0.00
0.00,208,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1828,0.00,0.00
0.00,209,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1844,0.00,0.00
0.00,210,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1860,0.00,0.00
0.00,211,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1876,0.00,0.00
0.00,212,0.00,0,0,0,0,0,0, 0.00,1,1.00,-0.03,-27.95,1892,-0.87,-0.11
0.00,213,0.00,0,0,0,0,0,0, 0.00,1,1.00,-0.30,-301.27,1908,-9.41,-0.96
0.00,214,0.00,0,0,0,0,0,0, 0.00,1,1.00,-0.30,-301.27,1924,-8.54,1.07
0.00,215,0.00,0,0,0,0,0,0, 0.00,1,1.00,-0.59,-593.32,1940,-9.13,-1.14
0.00,216,0.00,0,0,0,0,0,0, 0.00,1,1.00,-0.88,-883.06,1956,-18.18,0.01
0.00,217,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.16,-1155.76,1972,-17.58,0.07
0.00,218,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.39,-1387.76,1988,-15.77,0.16
0.00,219,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.39,-1387.76,2004,-7.25,0.91
0.00,220,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.57,-1567.81,2021,-5.14,-0.64
0.00,221,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.67,-1674.44,2038,-8.43,0.25
0.00,222,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.71,-1708.07,2055,-4.13,0.25
0.00,223,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.71,-1708.07,2072,-0.99,0.12
0.00,224,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.71,-1708.07,2089,0.00,0.00
0.00,225,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.69,-1693.73,2106,0.42,0.05
0.00,226,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.66,-1657.04,2123,1.50,0.08
0.00,227,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.62,-1616.03,2140,2.29,0.01
0.00,228,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.58,-1580.14,2157,2.26,-0.02
0.00,229,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.58,-1580.14,2174,1.06,-0.12
0.00,230,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.55,-1550.66,2191,0.87,0.10
0.00,231,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.52,-1524.96,2208,1.62,-0.01
0.00,232,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.51,-1509.22,2225,1.22,-0.03
0.00,233,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.50,-1502.32,2243,0.66,-0.03
0.00,234,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.50,-1502.32,2261,0.19,-0.02
0.00,235,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.50,-1502.32,2279,0.00,0.00
0.00,236,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.50,-1504.03,2297,-0.05,-0.01
0.00,237,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.51,-1507.63,2315,-0.15,-0.01
0.00,238,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.52,-1516.85,2333,-0.36,-0.02
0.00,239,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.54,-1536.56,2351,-0.80,-0.03
0.00,240,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.54,-1536.56,2369,-0.55,0.06
0.00,241,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.61,-1609.44,2387,-2.02,-0.22
0.00,242,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.79,-1786.25,2405,-6.94,-0.32
0.00,243,0.00,0,0,0,0,0,0, 0.00,1,1.00,-2.10,-2098.27,2423,-13.58,-0.42
0.00,244,0.00,0,0,0,0,0,0, 0.00,1,1.00,-2.53,-2525.94,2441,-20.55,-0.36
0.00,245,0.00,0,0,0,0,0,0, 0.00,1,1.00,-2.53,-2525.94,2459,-11.88,1.32
0.00,246,0.00,0,0,0,0,0,0, 0.00,1,1.00,-3.01,-3007.14,2477,-13.37,-1.49
0.00,247,0.00,0,0,0,0,0,0, 0.00,1,1.00,-3.49,-3494.45,2496,-26.21,0.06
0.00,248,0.00,0,0,0,0,0,0, 0.00,1,1.00,-3.98,-3984.62,2515,-25.72,-0.01
0.00,249,0.00,0,0,0,0,0,0, 0.00,1,1.00,-4.47,-4472.35,2534,-25.73,0.01
0.00,250,0.00,0,0,0,0,0,0, 0.00,1,1.00,-4.92,-4921.63,2553,-24.66,0.11
0.00,251,0.00,0,0,0,0,0,0, 0.00,1,1.00,-4.92,-4921.63,2572,-11.82,1.24
0.00,252,0.00,0,0,0,0,0,0, 0.00,1,1.00,-5.28,-5278.93,2591,-9.40,-0.99
0.00,253,0.00,0,0,0,0,0,0, 0.00,1,1.00,-5.46,-5458.74,2610,-14.13,0.49
0.00,254,0.00,0,0,0,0,0,0, 0.00,1,1.00,-5.46,-5458.74,2629,-4.73,0.50
0.00,255,0.00,0,0,0,0,0,0, 0.00,1,1.00,-5.38,-5376.65,2648,2.16,0.23
0.00,256,0.00,0,0,0,0,0,0, 0.00,1,1.00,-5.38,-5376.65,2667,2.16,-0.23
0.00,257,0.00,0,0,0,0,0,0, 0.00,1,1.00,-5.00,-5003.54,2686,9.82,1.03
0.00,258,0.00,0,0,0,0,0,0, 0.00,1,1.00,-4.44,-4439.64,2705,24.66,0.53
0.00,259,0.00,0,0,0,0,0,0, 0.00,1,1.00,-3.78,-3778.75,2724,32.23,0.27
0.00,260,0.00,0,0,0,0,0,0, 0.00,1,1.00,-3.06,-3055.97,2744,35.44,0.07
0.00,261,0.00,0,0,0,0,0,0, 0.00,1,1.00,-3.06,-3055.97,2764,18.07,-1.81
0.00,262,0.00,0,0,0,0,0,0, 0.00,1,1.00,-2.29,-2290.65,2784,19.13,1.91
0.00,263,0.00,0,0,0,0,0,0, 0.00,1,1.00,-1.50,-1499.82,2804,38.90,0.06
0.00,264,0.00,0,0,0,0,0,0, 0.00,1,1.00,-0.74,-742.31,2824,38.71,-0.08
0.00,265,0.00,0,0,0,0,0,0, 0.00,1,1.00,-0.13,-130.25,2844,34.24,-0.36
0.00,266,0.00,0,0,0,0,0,0, 0.00,1,1.00,-0.13,-130.25,2864,15.30,-1.53
0.00,267,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,2884,3.26,0.33
0.00,268,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,2904,3.26,-0.33
0.00,269,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,2924,0.00,0.00
0.00,270,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,2944,0.00,0.00
0.00,271,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,2964,0.00,0.00
0.00,272,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,2984,0.00,0.00
0.00,273,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3004,0.00,0.00
0.00,274,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3025,0.00,0.00
0.00,275,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3046,0.00,0.00
0.00,276,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3067,0.00,0.00
0.00,277,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3088,0.00,0.00
0.00,278,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3109,0.00,0.00
0.00,279,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3130,0.00,0.00
0.00,280,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3151,0.00,0.00
0.00,281,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3172,0.00,0.00
0.00,282,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3193,0.00,0.00
0.00,283,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3214,0.00,0.00
0.00,284,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3235,0.00,0.00
0.00,285,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3256,0.00,0.00
0.00,286,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3277,0.00,0.00
0.00,287,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3298,0.00,0.00
0.00,288,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3319,0.00,0.00
0.00,289,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3341,0.00,0.00
0.00,290,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3363,0.00,0.00
0.00,291,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3385,0.00,0.00
0.00,292,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3407,0.00,0.00
0.00,293,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3429,0.00,0.00
0.00,294,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3451,0.00,0.00
0.00,295,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3473,0.00,0.00
0.00,296,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3495,0.00,0.00
0.00,297,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3517,0.00,0.00
0.00,298,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3539,0.00,0.00
0.00,299,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3561,0.00,0.00
0.00,300,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3583,0.00,0.00
0.00,301,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3605,0.00,0.00
0.00,302,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3627,0.00,0.00
0.00,303,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3649,0.00,0.00
